datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2018-11-07T00:13:00Z,3.0,228.0,7.0,7.0,254.0
2018-11-07T01:13:00Z,0.0,,4.0,4.0,228.0
2018-11-07T02:13:00Z,4.99,48.0,7.0,7.0,28.0
2018-11-07T03:13:00Z,8.01,52.0,12.01,12.01,39.0
2018-11-07T04:13:00Z,8.01,49.0,14.0,14.0,52.0
2018-11-07T05:13:00Z,8.01,49.0,14.0,14.0,28.0
2018-11-07T06:13:00Z,8.01,46.0,17.0,17.0,41.0
2018-11-07T07:13:00Z,10.0,41.0,20.0,20.0,17.0
2018-11-07T08:13:00Z,8.99,41.0,18.01,18.01,45.0
2018-11-07T09:13:00Z,10.0,47.0,14.99,14.99,42.0
2018-11-07T10:13:00Z,10.0,47.0,18.99,18.99,47.0
2018-11-07T11:13:00Z,10.0,55.0,18.99,18.99,43.0
2018-11-07T12:13:00Z,11.01,43.0,20.0,20.0,35.0
2018-11-07T13:13:00Z,11.01,44.0,18.99,18.99,24.0
2018-11-07T14:13:00Z,10.0,49.0,17.0,17.0,38.0
2018-11-07T15:13:00Z,11.01,47.0,15.99,15.99,39.0
2018-11-07T16:13:00Z,8.99,46.0,17.0,17.0,41.0
2018-11-07T17:13:00Z,10.0,46.0,15.99,15.99,38.0
2018-11-07T18:13:00Z,8.01,45.0,15.99,15.99,39.0
2018-11-07T19:13:00Z,5.99,46.0,10.0,10.0,31.0
2018-11-07T20:13:00Z,2.01,34.0,8.99,8.99,24.0
2018-11-07T21:13:00Z,3.0,229.0,5.99,5.99,216.0
2018-11-07T22:13:00Z,1.01,260.0,7.0,7.0,245.0
2018-11-07T23:13:00Z,4.0,241.0,5.99,5.99,212.0
2018-11-08T00:13:00Z,4.0,236.0,7.0,7.0,232.0
2018-11-08T01:13:00Z,0.0,,4.99,4.99,226.0
2018-11-08T02:13:00Z,3.0,54.0,4.0,4.0,48.0
2018-11-08T03:13:00Z,14.0,44.0,21.0,21.0,44.0
2018-11-08T04:13:00Z,18.01,41.0,28.01,28.01,42.0
2018-11-08T05:13:00Z,24.99,39.0,42.99,42.99,37.0
2018-11-08T06:13:00Z,24.99,40.0,41.0,41.0,41.0
2018-11-08T07:13:00Z,27.0,35.0,44.0,44.0,50.0
2018-11-08T08:13:00Z,27.0,37.0,44.98,44.98,41.0
2018-11-08T09:13:00Z,28.99,37.0,48.0,48.0,32.0
2018-11-08T10:13:00Z,24.0,38.0,44.0,44.0,46.0
2018-11-08T11:13:00Z,31.0,37.0,50.0,50.0,43.0
2018-11-08T12:13:00Z,32.01,38.0,52.01,52.01,36.0
2018-11-08T13:13:00Z,30.0,42.0,51.0,51.0,43.0
2018-11-08T14:13:00Z,18.01,33.0,40.0,40.0,45.0
2018-11-08T15:13:00Z,14.0,33.0,28.01,28.01,48.0
2018-11-08T16:13:00Z,5.99,14.0,24.99,24.99,34.0
2018-11-08T17:13:00Z,14.0,33.0,21.0,21.0,34.0
2018-11-08T18:13:00Z,18.01,37.0,30.0,30.0,39.0
2018-11-08T19:13:00Z,14.0,29.0,28.99,28.99,31.0
2018-11-08T20:13:00Z,15.99,31.0,32.99,32.99,45.0
2018-11-08T21:13:00Z,12.01,38.0,32.01,32.01,19.0
2018-11-08T22:13:00Z,14.99,42.0,24.0,24.0,28.0
2018-11-08T23:13:00Z,10.0,40.0,28.01,28.01,49.0
2018-11-09T00:13:00Z,8.01,37.0,24.99,24.99,76.0
2018-11-09T01:13:00Z,13.0,27.0,23.0,23.0,23.0
2018-11-09T02:13:00Z,14.99,27.0,27.0,27.0,18.0
2018-11-09T03:13:00Z,18.01,31.0,30.0,30.0,36.0
2018-11-09T04:13:00Z,18.99,28.0,34.0,34.0,32.0
2018-11-09T05:13:00Z,22.01,35.0,35.99,35.99,41.0
2018-11-09T06:13:00Z,22.01,33.0,38.99,38.99,35.0
2018-11-09T07:13:00Z,27.0,34.0,42.99,42.99,37.0
2018-11-09T08:13:00Z,24.99,38.0,48.0,48.0,39.0
2018-11-09T09:13:00Z,28.01,38.0,44.98,44.98,25.0
2018-11-09T10:13:00Z,27.0,36.0,48.0,48.0,48.0
2018-11-09T11:13:00Z,28.01,42.0,41.0,41.0,46.0
2018-11-09T12:13:00Z,28.01,40.0,47.0,47.0,36.0
2018-11-09T13:13:00Z,28.99,41.0,44.98,44.98,43.0
2018-11-09T14:13:00Z,30.0,41.0,45.99,45.99,42.0
2018-11-09T15:13:00Z,28.01,38.0,45.99,45.99,49.0
2018-11-09T16:13:00Z,18.01,88.0,72.01,72.01,58.0
2018-11-09T17:13:00Z,13.0,90.0,27.0,27.0,99.0
2018-11-09T18:13:00Z,10.0,82.0,21.0,21.0,98.0
2018-11-09T19:13:00Z,7.0,82.0,17.0,17.0,83.0
2018-11-09T20:13:00Z,5.99,85.0,14.99,14.99,90.0
2018-11-09T21:13:00Z,5.99,84.0,12.01,12.01,78.0
2018-11-09T22:13:00Z,4.0,83.0,10.0,10.0,91.0
2018-11-09T23:13:00Z,3.0,248.0,5.99,5.99,56.0
