datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-10-08T00:56:00Z,12.01,315.0,23.0,23.0,333.0,75.0,23.0
2017-10-08T01:56:00Z,3.0,13.0,18.99,18.99,319.0,70.0,32.0
2017-10-08T02:56:00Z,7.0,328.0,14.99,14.99,322.0,66.99,38.0
2017-10-08T03:56:00Z,8.01,18.0,13.0,13.0,322.0,64.99,42.0
2017-10-08T04:56:00Z,10.0,6.0,14.0,14.0,7.0,64.99,44.0
2017-10-08T05:56:00Z,4.99,349.0,14.99,14.99,351.0,64.99,41.0
2017-10-08T06:56:00Z,5.99,349.0,8.99,8.99,346.0,62.01,47.0
2017-10-08T07:56:00Z,4.0,9.0,8.99,8.99,343.0,60.01,50.0
2017-10-08T08:56:00Z,4.99,27.0,14.0,14.0,14.0,61.0,48.0
2017-10-08T09:56:00Z,2.01,109.0,14.0,14.0,21.0,66.99,29.0
2017-10-08T10:56:00Z,5.99,13.0,8.01,8.01,20.0,61.0,39.0
2017-10-08T11:56:00Z,5.99,16.0,11.01,11.01,8.0,66.0,29.0
2017-10-08T12:56:00Z,1.01,29.0,8.99,8.99,2.0,66.99,26.0
2017-10-08T13:56:00Z,1.01,301.0,4.99,4.99,4.0,64.99,27.0
2017-10-08T14:56:00Z,3.0,178.0,5.99,5.99,212.0,66.0,28.0
2017-10-08T15:56:00Z,1.01,220.0,4.99,4.99,157.0,68.0,29.0
2017-10-08T16:56:00Z,4.0,178.0,8.01,8.01,174.0,70.0,28.0
2017-10-08T17:56:00Z,3.0,198.0,8.01,8.01,195.0,69.01,34.0
2017-10-08T18:56:00Z,4.99,216.0,11.01,11.01,193.0,70.0,31.0
2017-10-08T19:56:00Z,10.0,115.0,18.01,18.01,166.0,75.99,15.0
2017-10-08T20:56:00Z,8.99,26.0,15.99,15.99,7.0,77.0,11.0
2017-10-08T21:56:00Z,13.0,24.0,24.0,24.0,24.0,77.0,8.0
2017-10-08T22:56:00Z,12.01,26.0,25.99,25.99,359.0,75.0,7.0
2017-10-08T23:56:00Z,8.99,21.0,28.01,28.01,9.0,73.99,8.0
2017-10-09T00:56:00Z,14.0,35.0,31.0,31.0,21.0,70.0,11.0
2017-10-09T01:56:00Z,20.0,24.0,41.0,41.0,13.0,68.0,14.0
2017-10-09T02:56:00Z,34.99,21.0,59.01,59.01,11.0,66.99,15.0
2017-10-09T03:56:00Z,25.99,31.0,64.0,64.0,36.0,66.0,14.0
2017-10-09T04:56:00Z,30.0,33.0,62.01,62.01,26.0,66.0,13.0
2017-10-09T05:56:00Z,42.01,36.0,72.01,72.01,63.0,64.99,11.0
2017-10-09T06:56:00Z,48.0,33.0,79.01,79.01,46.0,64.0,12.0
2017-10-09T07:56:00Z,38.01,38.0,75.99,75.99,37.0,63.0,13.0
2017-10-09T08:56:00Z,42.99,44.0,73.01,73.01,30.0,63.0,12.0
2017-10-09T09:56:00Z,44.98,48.0,67.0,67.0,59.0,63.0,12.0
2017-10-09T10:56:00Z,35.99,53.0,65.01,65.01,47.0,63.0,12.0
2017-10-09T11:56:00Z,8.99,49.0,55.01,55.01,51.0,62.01,12.0
2017-10-09T12:56:00Z,4.99,188.0,38.01,38.01,55.0,61.0,13.0
2017-10-09T13:56:00Z,1.01,34.0,8.01,8.01,209.0,60.01,13.0
2017-10-09T14:56:00Z,0.0,,4.0,4.0,301.0,61.0,13.0
2017-10-09T15:56:00Z,8.99,37.0,30.0,30.0,59.0,64.99,11.0
2017-10-09T16:56:00Z,14.99,54.0,25.99,25.99,43.0,68.0,10.0
2017-10-09T17:56:00Z,8.99,83.0,25.99,25.99,47.0,71.01,10.0
2017-10-09T18:56:00Z,4.0,206.0,15.99,15.99,165.0,72.0,12.0
2017-10-09T19:56:00Z,8.01,184.0,14.99,14.99,171.0,69.01,16.0
2017-10-09T20:56:00Z,5.99,200.0,10.0,10.0,185.0,72.0,13.0
2017-10-09T21:56:00Z,7.0,195.0,10.0,10.0,182.0,71.01,13.0
2017-10-09T22:56:00Z,8.01,179.0,11.01,11.01,180.0,69.01,14.0
2017-10-09T23:56:00Z,5.99,163.0,12.01,12.01,170.0,68.0,15.0
2017-10-10T00:56:00Z,5.99,148.0,10.0,10.0,151.0,66.0,16.0
2017-10-10T01:56:00Z,4.99,123.0,8.99,8.99,157.0,64.99,17.0
2017-10-10T02:56:00Z,4.0,132.0,8.99,8.99,174.0,63.0,20.0
2017-10-10T03:56:00Z,4.99,136.0,10.0,10.0,150.0,63.0,21.0
2017-10-10T04:56:00Z,5.99,126.0,14.99,14.99,153.0,61.0,28.0
2017-10-10T05:56:00Z,5.99,123.0,10.0,10.0,101.0,62.01,30.0
2017-10-10T06:56:00Z,7.0,136.0,13.0,13.0,146.0,62.01,32.0
2017-10-10T07:56:00Z,8.01,148.0,13.0,13.0,124.0,63.0,34.0
2017-10-10T08:56:00Z,8.99,151.0,13.0,13.0,157.0,63.0,32.0
2017-10-10T09:56:00Z,8.99,164.0,14.0,14.0,161.0,63.0,31.0
2017-10-10T10:56:00Z,5.99,152.0,12.01,12.01,159.0,62.01,33.0
2017-10-10T11:56:00Z,4.0,118.0,8.99,8.99,169.0,61.0,34.0
2017-10-10T12:56:00Z,2.01,30.0,4.99,4.99,137.0,60.01,34.0
2017-10-10T13:56:00Z,1.01,310.0,3.0,3.0,26.0,61.0,32.0
2017-10-10T14:56:00Z,4.0,142.0,4.99,4.99,145.0,62.01,29.0
2017-10-10T15:56:00Z,4.0,181.0,7.0,7.0,128.0,64.99,28.0
2017-10-10T16:56:00Z,4.0,170.0,8.99,8.99,117.0,68.0,27.0
2017-10-10T17:56:00Z,8.99,150.0,14.99,14.99,153.0,69.01,23.0
2017-10-10T18:56:00Z,7.0,186.0,14.0,14.0,173.0,70.0,25.0
2017-10-10T19:56:00Z,8.01,185.0,12.01,12.01,191.0,70.0,24.0
2017-10-10T20:56:00Z,8.99,179.0,14.0,14.0,172.0,71.01,21.0
2017-10-10T21:56:00Z,8.99,180.0,14.99,14.99,178.0,72.0,22.0
2017-10-10T22:56:00Z,10.0,184.0,14.99,14.99,188.0,72.0,24.0
2017-10-10T23:56:00Z,11.01,174.0,15.99,15.99,178.0,71.01,23.0
